割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,105.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,352.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,98.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,386.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,97.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,368.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,96.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,334.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,92.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,345.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,90.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,375.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,112.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,333.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,86.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,362.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,101.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,344.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,114.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,342.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,81.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,373.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,101.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,365.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,88.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,340.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
