割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,10.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,27.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,14.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,25.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,18.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,11.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,25.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,9.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,29.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,21.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,10.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,26.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,13.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,25.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,14.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,12.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,27.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,11.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,31.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,23.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,10.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,28.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,11.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,25.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,16.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,12.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,29.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,18.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,12.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,26.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,12.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,25.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,9.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,30.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,13.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,26.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,9.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,27.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,16.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,9.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,28.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,10.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,31.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,18.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,10.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,27.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,16.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,10.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,29.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,21.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,13.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,25.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,12.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,29.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,21.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,12.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,25.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,10.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,32.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,13.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,28.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,19.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,10.0
割り当て方法 : ,rnd,計算ノードの数 :,6,通信量 : ,25.0
割り当て方法 : ,sim,計算ノードの数 :,6,通信量 : ,17.0
割り当て方法 : ,loc,計算ノードの数 :,6,通信量 : ,9.0
